HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
QTs,30,JJo,42,0.3262508809566498,0.00396327581256628,0.6697858572006226
QTs,30,JTs,43,0.68367999792099,0.03600995987653732,0.2803100347518921
QTs,30,J9s,44,0.6248916387557983,0.009364429861307144,0.3657439053058624
QTs,30,J8s,45,0.6336185336112976,0.009318730793893337,0.35706275701522827
QTs,30,J7s,46,0.6424846053123474,0.00927303172647953,0.3482423424720764
QTs,30,J6s,47,0.6509788632392883,0.009174772538244724,0.33984634280204773
QTs,30,J5s,48,0.6489103436470032,0.009565474465489388,0.3415241837501526
QTs,30,J4s,49,0.6492651104927063,0.009572920389473438,0.34116196632385254
QTs,30,J3s,50,0.6526798009872437,0.009685195982456207,0.33763498067855835
QTs,30,J2s,51,0.6561536192893982,0.009797471575438976,0.33404889702796936
QTs,30,TAo,52,0.3047321140766144,0.018339617177844048,0.6769282817840576
QTs,30,TKo,53,0.2895813584327698,0.02824478968977928,0.6821738481521606
QTs,30,TQo,54,0.07157490402460098,0.9066917896270752,0.02173328958451748
QTs,30,TJo,55,0.7233189940452576,0.03684431314468384,0.2398366928100586
QTs,30,TTo,56,0.36317208409309387,0.019177669659256935,0.6176502704620361
QTs,30,T9s,57,0.6723502278327942,0.039516348391771317,0.2881334125995636
QTs,30,T8s,58,0.6757035851478577,0.040041953325271606,0.28425443172454834
QTs,30,T7s,59,0.6895060539245605,0.04077079892158508,0.26972314715385437
QTs,30,T6s,60,0.6870865225791931,0.04084613546729088,0.2720673382282257
QTs,30,T5s,61,0.6975922584533691,0.042256515473127365,0.2601512372493744
QTs,30,T4s,62,0.6985611319541931,0.04243522137403488,0.2590036690235138
QTs,30,T3s,63,0.7028605937957764,0.04271729663014412,0.2544220983982086
QTs,30,T2s,64,0.7072178721427917,0.042999375611543655,0.2497827559709549
QTs,30,9Ao,65,0.46087902784347534,0.004421966150403023,0.534699022769928
QTs,30,9Ko,66,0.4518883526325226,0.0067258793860673904,0.5413857698440552
QTs,30,9Qo,67,0.6798432469367981,0.10165289789438248,0.21850384771823883
QTs,30,9Jo,68,0.6537109017372131,0.009149806573987007,0.3371393084526062
